property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
Hôtel De Fleurie,1,3,"6th arr., Paris",1.1,1,Good ,474,Classic Double Room,1 large double bed,1,7.2,120,False,False
Lautrec Opera,1,3,"2nd arr., Paris",1.9,1,Good ,"1,152",Double Room,1 double bed,0,7.1,141,False,False
Villa Montparnasse,1,4,"14th arr., Paris",2.9,0,Good ,721,Classic Double Room,1 double bed,0,7.8,149,True,False
Hotel André Gill,1,2,"18th arr., Paris",3.0,1,Good ,721,Standard Double or Twin Room,Beds: 1 double or 2 singles,0,7.1,83,False,False
Tonic Hôtel du Louvre,0,No Rating available,"1st arr., Paris",0.7,1,Review score ,"1,985",Standard Double Room,1 double bed,1,6.9,90,False,False
Hotel Ducs de Bourgogne,1,4,"1st arr., Paris",0.7,1,Superb ,858,Classic Double Room,1 double bed,1,9.0,195,False,False
Hôtel du Parc Montparnasse,1,3,"14th arr., Paris",2.7,1,Very good ,615,Standard Double Room,1 large double bed,1,8.0,146,False,False
Hotel Aulivia Opéra,1,4,"10th arr., Paris",1.8,1,Good ,770,Classic Double Room,1 double bed,0,7.9,105,False,False
Hôtel Korner Etoile,1,3,"17th arr., Paris",5.3,0,Very good ,626,Twin Room,2 single beds,1,8.3,141,False,False
Hôtel Beauchamps,1,4,"8th arr., Paris",3.5,1,Good ,"1,569",Superior Twin Room,2 single beds,1,7.3,185,False,False
Hôtel Vaneau Saint Germain,1,3,"7th arr., Paris",2.4,1,Good ,"1,148",Classic Double Room,1 large double bed,0,7.9,174,False,False
Prince Monceau,1,2,"17th arr., Paris",4.4,0,Good ,698,Standard Double Room with Shower,1 double bed,0,7.4,93,False,False
Pratic Hotel,1,No Rating available,"4th arr., Paris",0.8,1,Good ,"1,412",Standard Double Room,1 double bed,0,7.4,101,False,False
Hotel Elysa-Luxembourg,1,3,"5th arr., Paris",1.4,0,Very good ,"1,649",Standard Double or Twin Room,Beds: 1 double or 2 singles,0,8.5,154,False,False
Grand Hôtel Des Gobelins,1,3,"13th arr., Paris",2.1,1,Very good ,"1,321",Double Room,Beds: 1 double or 2 singles,1,8.1,120,False,False
Hotel Agora,1,No Rating available,"1st arr., Paris",0.6,0,Good ,"1,127",Standard Double or Twin Room,Multiple bed types,0,7.1,136,False,False
Hôtel Montparnasse Saint Germain,1,3,"14th arr., Paris",2.6,1,Very good ,"1,069",Double Room,1 double bed,0,8.0,143,False,False
Lodge In,1,3,"13th arr., Paris",4.3,1,Review score ,690, Double Room,2 single beds,0,6.6,89,True,False
Timhotel Montmartre,1,3,"18th arr., Paris",3.4,1,Very good ,"1,679",Comfort Double or Twin Room,Beds: 1 double or 2 singles,0,8.4,138,False,False
Hotel Rivoli,1,No Rating available,"4th arr., Paris",250.0,1,Very good ,"1,296",Double Room with Private Bathroom,1 double bed,0,8.1,120,False,False
Maison Barbès,1,4,"18th arr., Paris",3.1,1,Very good ,"1,406",Superior Queen Room,1 large double bed,0,8.3,122,False,False
Timhotel Paris Gare Montparnasse,1,3,"15th arr., Paris",2.7,0,Good ,"1,589",Superior Double Room,1 double bed,0,7.0,127,False,False
Hôtel Bellevue et du Chariot d'Or,1,2,"3rd arr., Paris",0.9,1,Good ,"1,753",Double Room,1 double bed,0,7.5,117,False,False
Hotel Westminster,1,4,"2nd arr., Paris",2.0,0,Good ,"1,050",Classic Room,Beds: 1 double or 2 singles,0,7.8,231,False,False
Moxy Paris Bastille,1,3,"11th arr., Paris",1.4,1,Very good ,"1,502",MOXY Sleeper Queen,1 double bed,1,8.0,147,False,False
Hotel Audran,1,2,"18th arr., Paris",3.4,1,Very good ,"1,541",Double Room,1 double bed,1,8.0,101,False,False
Hôtel Le M,1,4,"14th arr., Paris",2.8,1,Very good ,"1,158",Classic Double or Twin Room,Beds: 1 double or 2 singles,0,8.0,144,False,False
Hotel Lorette - Astotel,1,3,"9th arr., Paris",2.7,1,Fabulous ,"1,112",Double Room,1 double bed,0,8.6,142,False,False
Hotel Bellevue Saint-Lazare,1,2,"8th arr., Paris",2.9,1,Very good ,622,Double Room,1 double bed,0,8.3,137,False,False
Castex Hotel,1,3,"4th arr., Paris",1.2,1,Good ,834,Double Room,1 double bed,0,7.5,138,False,False
Hôtel Lucien,1,No Rating available,"2nd arr., Paris",1.4,1,Very good ,"1,435",Double Room,1 double bed,1,8.0,132,False,False
Louvre Marsollier Opera,1,3,"2nd arr., Paris",1.8,1,Good ,"1,012",Double Room,1 double bed,0,7.6,125,False,False
Best Western Premier Faubourg 88,1,4,"10th arr., Paris",2.3,1,Very good ,660,Classic Queen Room,1 large double bed,1,8.0,105,False,False
Contact Hôtel Alizé Montmartre,1,3,"9th arr., Paris",3.4,0,Very good ,959,Superior Double Room,1 large double bed,1,8.1,114,False,False
Hotel Elysees Opera,1,3,"8th arr., Paris",3.4,1,Very good ,"1,862",Superior Double Room,1 large double bed,1,8.3,142,False,False
WIT Hotel,1,3,"9th arr., Paris",1.9,0,Good ,"2,435",Twin Room,2 single beds,1,7.1,111,False,False
Hotel Celtic,0,No Rating available,"14th arr., Paris",2.5,1,Review score ,"1,636",Double Room,1 double bed,0,6.4,77,False,False
Hotel Minerve,1,3,"5th arr., Paris",1.0,1,Very good ,"1,681",Superior Twin Room,2 single beds,0,8.2,145,False,False
Le Malown,1,3,"8th arr., Paris",2.6,1,Good ,850,Deluxe Double Room,Beds: 1 double or 2 singles,0,7.7,136,False,False
Hôtel Sophie Germain,1,3,"14th arr., Paris",3.2,1,Very good ,673,Double Room,1 double bed,0,8.2,137,False,False
Austin's Saint Lazare Hotel,1,3,"9th arr., Paris",2.9,0,Very good ,"1,551",Twin Room,2 single beds,1,8.1,171,False,False
Hotel Le Mareuil,1,4,"11th arr., Paris",1.6,1,Fabulous ,924,Standard Double Room with Spa Access ,1 large double bed,0,8.9,165,False,False
Hôtel Vendome Saint-Germain,1,3,"5th arr., Paris",1.0,1,Very good ,"1,582",Small Double Room,1 large double bed,1,8.5,134,False,False
Hôtel Villa Bohème,1,3,"9th arr., Paris",2.9,1,Very good ,803,Comfort Double Room,1 double bed,0,8.2,120,False,False
Hotel Paris Louis Blanc,1,3,"10th arr., Paris",2.9,1,Very good ,"2,893",Standard Double Room,1 double bed,1,8.0,130,False,False
Hotel Louvre Bons Enfants,1,3,"1st arr., Paris",1.2,1,Good ,"1,353",Double Room,1 double bed,0,7.6,173,False,False
Prince Albert Wagram,1,3,"17th arr., Paris",4.4,1,Good ,"1,019",Standard Double Room,1 double bed,0,7.6,118,False,False
Hôtel des Champs-Elysées,1,4,"8th arr., Paris",3.6,1,Very good ,784,Superior Double Room,1 large double bed,0,8.5,236,False,False
Beaugrenelle St-Charles Tour Eiffel,1,3,"15th arr., Paris",4.9,1,Very good ,790,Double Room with Shower,1 double bed,0,8.1,117,False,False
MEININGER Hotel Paris Porte de Vincennes,1,No Rating available,"12th arr., Paris",4.7,1,Good ,"7,038",Twin Room,2 single beds,1,7.9,118,False,False
Hôtel de Roubaix,1,2,"3rd arr., Paris",1.0,1,Superb ,"3,868",Double Room,1 double bed,0,9.0,166,False,False
Avia Hôtel Saphir Montparnasse,1,3,"15th arr., Paris",3.2,1,Good ,782,Double Room,1 double bed,0,7.6,133,False,False
Hotel Malte - Astotel,1,4,"2nd arr., Paris",1.5,1,Superb ,"1,068",Standard  Double Room,1 double bed,0,9.1,213,False,False
Libertel Gare de L'Est Francais,1,3,"10th arr., Paris",2.2,1,Very good ,"1,699",Privilege Double Room,1 double bed,0,8.0,126,False,False
Denfert-Montparnasse,1,No Rating available,"14th arr., Paris",3.0,1,Good ,754,Double or Twin Room,1 double bed,0,7.5,81,False,False
Hôtel Jardin de Cluny,1,4,"5th arr., Paris",0.8,0,Superb ,898,Classic Double Room,1 double bed,1,9.1,187,False,False
B&B HOTEL Paris 17 Batignolles,1,3,"17th arr., Paris",5.1,1,Good ,"8,651",Standard Twin Room,2 single beds,0,7.9,113,False,False
Timhotel Opéra Blanche Fontaine,1,4,"9th arr., Paris",3.2,1,Very good ,"1,345",Comfort Double Room,1 double bed,0,8.0,155,False,False
Hôtel Pavillon Bastille,1,3,"12th arr., Paris",1.5,1,Very good ,993,Classic Double or Twin Room,Beds: 1 double or 2 singles,0,8.2,150,False,False
Hotel Le Chat Noir,1,4,"18th arr., Paris",3.2,1,Good ,"1,085",Double or Twin Room,Beds: 1 double or 2 singles,0,7.9,120,False,False
Au Manoir Saint Germain,1,4,"6th arr., Paris",1.4,1,Very good ,501,Superior Room,1 large double bed,1,8.5,194,False,False
Normandy Le Chantier,1,No Rating available,"1st arr., Paris",1.5,0,Very good ,789,Cosy Double Room - Afterworks,1 extra-large double bed,0,8.2,215,True,False
Maison Mère,1,4,"9th arr., Paris",2.3,1,Superb ,707,Small Double Room,Beds: 1 double or 2 singles,1,9.1,163,False,False
Hotel Montpensier,1,2,"1st arr., Paris",1.4,1,Very good ,"1,639",Double Room with Bath,1 double bed,0,8.0,147,False,False
Hôtel Soft,1,3,"10th arr., Paris",1.9,0,Good ,"1,300",Standard Double Room,1 large double bed,1,7.7,134,False,False
Libertel Montmartre Opéra,1,3,"9th arr., Paris",3.1,1,Very good ,670,Privilege Double Room,1 double bed,0,8.1,107,False,False
Timhotel Paris Gare de l'Est,1,3,"10th arr., Paris",2.1,1,Good ,"1,480",Twin Room,2 single beds,0,7.7,108,False,False
Folkestone Opéra,1,3,"8th arr., Paris",2.6,1,Very good ,993,Classic Double Room,1 large double bed,0,8.5,164,False,False
Hotel de France Invalides,1,3,"7th arr., Paris",3.1,1,Good ,958,Twin Room,2 single beds,0,7.6,171,False,False
Pavillon de Montmartre,1,3,"18th arr., Paris",3.4,1,Good ,"1,408",Double Room,Beds: 1 double or 2 singles,0,7.0,119,True,False
Hôtel Henriette,1,3,"13th arr., Paris",2.3,1,Fabulous ,661,Classic Double Room,1 double bed,0,8.9,143,False,False
Hôtel Le Cercle Tour Eiffel,1,3,"7th arr., Paris",3.4,1,Fabulous ,950,Classic Double Room,Beds: 1 double or 2 singles,1,8.6,169,False,False
Maison 46,1,3,"15th arr., Paris",4.1,1,Very good ,"1,180",Superior Queen Room,1 large double bed,0,8.1,153,False,False
Alizé Grenelle Tour Eiffel,1,3,"15th arr., Paris",4.8,1,Good ,683,Double Room with Shower,1 double bed,0,7.9,122,False,False
Hotel Maison FL,1,4,"16th arr., Paris",4.9,1,Very good ,720,Classic Double Room,1 large double bed,0,8.4,209,False,False
La Villa Royale,1,4,"9th arr., Paris",3.0,0,Review score ,"1,396",Classic Double Room,1 double bed,0,6.8,155,True,False
Hôtel Sunny,1,2,"5th arr., Paris",2.2,0,Good ,"1,666",Double Room,1 double bed,1,7.6,115,False,False
Hotel Modern Est,1,2,"10th arr., Paris",2.2,1,Very good ,"1,332",Superior Double Room,1 double bed,0,8.0,122,False,False
Hôtel Mazagran,1,3,"10th arr., Paris",1.5,1,Good ,"1,747",Double or Twin Room,2 single beds,0,7.3,119,False,False
Turenne Le Marais,1,3,"4th arr., Paris",0.9,1,Very good ,967,Twin Room,2 single beds,0,8.1,174,False,False
Hôtel Elysées Paris,1,3,"17th arr., Paris",4.6,1,Good ,"1,247",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,0,7.5,153,False,False
Hôtel LUX PICPUS,1,2,"12th arr., Paris",3.9,1,Good ,"1,205",Standard Double Room,1 double bed,1,7.6,98,False,False
Saphir Grenelle,1,3,"15th arr., Paris",4.1,1,Good ,834,Twin Room,2 single beds,0,7.0,124,False,False
Hôtel Victoria Châtelet,1,3,"1st arr., Paris",400.0,1,Good ,"1,302",Standard Double Room,1 double bed,1,7.7,142,False,False
Timhotel Opera Madeleine,1,3,"8th arr., Paris",2.8,1,Good ,"1,720",Comfort Double or Twin Room,Beds: 1 double or 2 singles,0,7.5,143,False,False
Hotel Du Beaumont,1,4,"18th arr., Paris",3.3,1,Very good ,"1,027",Standard Double Room,1 double bed,0,8.2,122,False,False
Berkeley,1,No Rating available,"14th arr., Paris",2.5,1,Good ,597,Double Room,1 double bed,0,7.2,142,False,False
Exe Panorama,1,3,"10th arr., Paris",2.2,1,Very good ,"1,491",Double or Twin Room,Beds: 1 double or 2 singles,1,8.2,127,False,False
Hotel Taylor,1,3,"10th arr., Paris",1.5,1,Fabulous ,"2,491",Twin Duo,2 single beds,0,8.8,183,False,False
Hotel Vacances Bleues Provinces Opera,1,3,"10th arr., Paris",1.7,1,Very good ,"2,746",Standard Double Room,1 double bed,0,8.2,165,False,False
Hotel des Grandes Ecoles,1,3,"5th arr., Paris",1.3,1,Fabulous ,"1,294",Double Room with Garden View,1 double bed,1,8.7,169,False,False
Hotel de Paris Montmartre,1,3,"17th arr., Paris",3.6,1,Very good ,"2,125",Double Room,1 double bed,0,8.1,112,False,False
Hôtel du Quai de Seine,1,2,"19th arr., Paris",3.8,1,Good ,"1,781",Double Room,1 double bed,0,7.6,87,False,False
Citadines Montmartre Paris,1,3,"18th arr., Paris",3.5,1,Good ,"2,207",Studio (2 Adults),Beds: 1 double or 2 singles,1,7.9,139,False,False
Hôtel Hor Les Lumières,1,3,"11th arr., Paris",1.9,1,Very good ,"1,448",Double Room,1 double bed,0,8.3,118,False,False
Hôtel Lumières Montmartre Paris,1,3,"18th arr., Paris",4.3,1,Good ,"1,419",Double Room,1 double bed,1,7.4,102,False,False
Hotel 34B - Astotel,1,3,"9th arr., Paris",1.9,1,Fabulous ,"1,723",Double Room,1 large double bed,0,8.8,177,False,False
Hotel Dadou Paris,1,4,"17th arr., Paris",4.6,1,Fabulous ,504,Small Double Room,Beds: 1 double or 2 singles,1,8.9,185,False,False
Hôtel Ambre,1,3,"13th arr., Paris",3.4,1,Good ,"1,701",Deluxe Double Room,1 double bed,0,7.6,124,False,False
Hotel des Bains,1,2,"14th arr., Paris",2.5,1,Good ,909,Double Room,1 double bed,0,7.6,121,False,False
Best Western Plus 61 Paris Nation Hotel,1,4,"12th arr., Paris",4.4,1,Good ,"1,088",Superior Queen Room,1 large double bed,1,7.6,105,False,False
Parc Hotel,1,3,"14th arr., Paris",4.0,1,Good ,"1,018",Double Room with Courtyard View,1 double bed,0,7.7,99,False,False
Hotel de l'Aqueduc,1,3,"10th arr., Paris",2.9,1,Good ,"2,384",Classic Room,1 double bed,0,7.2,130,False,False
Best Western Le Montmartre – Saint Pierre,1,3,"18th arr., Paris",3.1,1,Good ,"1,441",Classic Double Room,1 double bed,0,7.6,112,False,False
Hôtel Kabanel,1,3,"10th arr., Paris",2.2,1,Good ,"1,109",Club Double Room,1 double bed,1,7.2,114,False,False
Hôtel Eugénie,1,3,"6th arr., Paris",0.8,1,Good ,"1,336",Standard Double Room,1 double bed,0,7.9,158,False,False
Le Marquis Eiffel,1,4,"15th arr., Paris",4.0,1,Fabulous ,805,Classic Room,1 double bed,0,8.7,175,False,False
HOTEL AU COEUR DES ARTS ET METIERS,1,3,"3rd arr., Paris",1.2,1,Very good ,"1,054",Double Room with Courtyard View,1 double bed,1,8.0,122,False,False
Hôtel Amoi Paris,1,4,"10th arr., Paris",1.6,1,Fabulous ,455,Standard Double Room,1 double bed,1,8.9,164,False,False
Hotel 29 Lepic,1,3,"18th arr., Paris",3.5,1,Good ,"1,106",Standard Double Room,1 large double bed,1,7.9,146,False,False
Grand Hotel Dore,1,3,"12th arr., Paris",3.9,0,Very good ,570,Double Room,1 double bed,0,8.2,122,False,False
Hôtel Des Arts-Bastille,1,3,"11th arr., Paris",2.3,1,Very good ,"1,623",Queen Room,2 single beds,1,8.0,150,False,False
Hôtel Marais Hôme,1,3,"11th arr., Paris",1.4,1,Very good ,902,Classic Double Room,1 large double bed,0,8.2,184,False,False
Hotel Aida Opera,1,3,"9th arr., Paris",2.0,0,Very good ,"2,771",Superior Double or Twin Room,Beds: 1 double or 2 singles,1,8.2,153,False,False
Hôtel Oratio,1,3,"5th arr., Paris",0.9,1,Fabulous ,"1,053",Comfort Double Room,1 double bed,1,8.8,193,False,False
Art Hotel Eiffel,1,3,"15th arr., Paris",4.0,1,Very good ,"1,295",Standard Double Room,1 double bed,1,8.2,148,False,False
Generator Paris,1,No Rating available,"10th arr., Paris",2.7,1,Good ,"6,739",Deluxe Queen Room,1 double bed,1,7.4,135,False,False
Grand Hôtel du Havre,0,3,"9th arr., Paris",2.8,1,Review score ,"1,673",Superior Double Room,1 double bed,0,6.5,94,False,False
Hôtel de l'Aveyron,0,1,"12th arr., Paris",1.8,1,Review score ,"1,405",Double Room,1 double bed,0,6.2,79,False,False
"Holiday Inn Express Paris-Canal De La Villette, an IHG Hotel",1,3,"19th arr., Paris",4.0,1,Very good ,"3,089",Standard Room,Beds: 1 double or 2 singles,1,8.1,159,True,False
Hotel Best Western Anjou Lafayette,1,3,"9th arr., Paris",2.2,1,Very good ,990,Classic Queen Room,1 large double bed,1,8.1,132,False,False
Timhotel Tour Eiffel,1,3,"15th arr., Paris",4.4,0,Good ,"1,163",Comfort Double Room,1 double bed,0,7.3,139,False,False
Hôtel le Clos de Notre Dame,1,3,"6th arr., Paris",0.7,0,Good ,711,Twin Room,2 single beds,0,7.8,138,False,False
Timhotel Le Louvre,1,3,"1st arr., Paris",1.1,1,Good ,"1,049",Twin Room,2 single beds,0,7.6,173,False,False
Hôtel Du Midi Paris Montparnasse,1,3,"14th arr., Paris",3.0,1,Very good ,"1,744",Deluxe Double Room,1 large double bed,0,8.3,143,False,False
Hôtel Beaubourg,1,3,"4th arr., Paris",400.0,1,Very good ,405,Superior Double Room,1 large double bed,0,8.2,143,False,False
Le Nouvel Hôtel du Théâtre,1,3,"14th arr., Paris",2.8,1,Good ,326,Double Room with Shower,1 double bed,0,7.2,99,False,False
Hôtel National Des Arts et Métiers,1,4,"3rd arr., Paris",1.0,1,Fabulous ,517,Double Room with Balcony,1 large double bed,0,8.8,276,False,False
Hotel De Suez,1,2,"5th arr., Paris",1.0,1,Very good ,629,Superior Double Room,1 large double bed,1,8.5,161,False,False
Regyn's Montmartre,1,2,"18th arr., Paris",3.3,1,Good ,"1,582",Comfort Room,Beds: 1 double or 2 singles,0,7.8,126,False,False
Hôtel de la Bourdonnais,1,4,"7th arr., Paris",3.4,1,Fabulous ,"1,171",Classic Double Room,1 double bed,0,8.6,235,False,False
Hotel de L'Universite,1,3,"7th arr., Paris",1.6,1,Fabulous ,882,Standard Double or Twin Room,Beds: 1 double or 2 singles,0,8.6,221,False,False
Hôtel Artus,1,4,"6th arr., Paris",1.2,1,Fabulous ,431,Classic Double Room - Les Pop,1 large double bed,1,8.9,208,False,False
Hôtel Paris Vaugirard,1,3,"15th arr., Paris",5.3,1,Very good ,"3,454", Double Room,1 large double bed,0,8.3,142,False,False
Royal Madeleine Hotel & Spa,1,4,"8th arr., Paris",2.7,1,Very good ,"1,265",Double Classic,1 double bed,0,8.5,237,False,False
Hôtel Madeleine Plaza,1,4,"8th arr., Paris",2.5,1,Very good ,738,Standard Double Room,1 large double bed,1,8.1,212,False,False
La Maison Champs Elysées,1,5,"8th arr., Paris",3.3,1,Good ,262,Superior Double Room,1 double bed,0,7.6,278,False,False
La Mondaine,1,3,"9th arr., Paris",3.3,1,Very good ,349,Double Room,1 large double bed,1,8.5,141,False,False
Hôtel Arvor Saint Georges,1,4,"9th arr., Paris",2.6,1,Very good ,586,Double or Twin Superior Room,Beds: 1 double or 2 singles,0,8.4,115,False,False
Convention Montparnasse,1,3,"15th arr., Paris",4.5,1,Good ,"1,158",Standard Double Room,1 double bed,1,7.9,126,False,False
Dauphine Saint Germain,1,3,"6th arr., Paris",0.9,0,Good ,"1,091",Double Room,1 double bed,0,7.9,132,False,False
Hôtel des Beaux Arts,1,2,"13th arr., Paris",3.3,1,Review score ,276,Double Room without Window,1 double bed,1,6.7,101,False,False
Hotel Moulin Plaza,1,3,"9th arr., Paris",3.2,1,Good ,"1,847",Classic Double Room Courtyard Side,1 double bed,0,7.9,150,False,False
La Planque Hotel,1,3,"10th arr., Paris",2.2,1,Superb ,"1,372",Cosy Double Room,1 double bed,0,9.1,160,False,False
L'Amiral,1,3,"15th arr., Paris",4.1,1,Very good ,933,Superior Double Room,1 large double bed,0,8.2,109,False,False
Hotel Le Clos d'Alésia,1,3,"14th arr., Paris",3.9,1,Review score ,746,Double Room,1 large double bed,0,6.9,94,False,False
"Holiday Inn Paris Opéra - Grands Boulevards, an IHG Hotel",1,4,"9th arr., Paris",1.8,1,Very good ,"1,070",Standard Double Room,1 double bed,1,8.2,185,False,False
Lennon Hotel Paris Gare du Nord,1,2,"10th arr., Paris",2.7,1,Good ,990,Double Room,1 double bed,0,7.4,100,False,False
Hotel B Square,1,3,"17th arr., Paris",3.7,1,Good ,554,Superior Double Room,1 double bed,1,7.6,120,False,False
Citadines Place d'Italie Paris,1,3,"13th arr., Paris",2.9,1,Very good ,"2,246", Studio,1 sofa bed,1,8.0,143,False,False
Hotel de la Bretonnerie,1,3,"4th arr., Paris",350.0,0,Very good ,404,Classic Double Room,1 large double bed,0,8.2,141,False,False
Hôtel Saint Martin Bastille,1,3,"11th arr., Paris",1.7,1,Very good ,"1,414",Comfort Double Room,1 large double bed,1,8.3,138,False,False
Hôtel Du Leman,1,3,"9th arr., Paris",2.0,1,Good ,"1,108",Double Room,1 double bed,0,7.4,122,False,False
Hôtel Aston,1,3,"9th arr., Paris",1.8,1,Good ,"2,033",Small Double Room with Balcony,1 double bed,1,7.6,112,False,False
Alyss Saphir Cambronne Eiffel,1,3,"15th arr., Paris",4.2,1,Good ,716,Double Room,1 double bed,0,7.4,123,False,False
Hotel Chabrol Opera,1,3,"10th arr., Paris",2.3,1,Good ,927,Twin Room,2 single beds,0,7.3,123,False,False
Modern Hotel,0,2,"11th arr., Paris",2.4,1,Review score ,"1,679",Double Room,1 double bed,0,6.6,77,False,False
Aparthotel Adagio Paris Montmartre,1,3,"18th arr., Paris",3.0,1,Very good ,"2,105",Studio (2 Adults),Entire studio • 1 bathroom • 1 kitchen • 20m²Beds: 1 double or 2 singles,1,8.5,148,False,False
Hôtel du Triangle d'Or,1,3,"9th arr., Paris",2.4,1,Fabulous ,"1,042",Classic Double or Twin Room,1 double bed,0,8.6,168,False,False
Résidence du Pré,1,3,"9th arr., Paris",2.4,1,Very good ,"2,075",Double Room,1 double bed,0,8.1,119,False,False
Hotel Bridget,1,3,"20th arr., Paris",3.5,1,Very good ,994,Double Room,1 large double bed,0,8.1,130,False,False
Hôtel Monsieur Aristide,1,4,"18th arr., Paris",3.4,1,Superb ,434,Classic Double Room,1 large double bed,1,9.1,176,False,False
Hôtel Diva Opera,1,4,"9th arr., Paris",1.9,1,Very good ,"1,237",Standard Twin Room,2 single beds,1,8.2,155,False,False
Hotel des Pyrénées,1,No Rating available,"20th arr., Paris",3.2,1,Good ,"1,540",Double Room,1 double bed,0,7.7,92,False,False
Hotel Astoria - Astotel,1,3,"8th arr., Paris",3.5,1,Very good ,845,Standard Double Room,1 double bed,0,8.4,154,False,False
Hôtel de Notre-Dame,1,3,"5th arr., Paris",0.7,1,Very good ,586,Double Room,1 double bed,0,8.1,180,False,False
Hôtel Gabriel Paris,1,4,"11th arr., Paris",1.6,1,Very good ,500,Standard Room,1 double bed,1,8.4,166,True,False
Académie Hôtel Saint Germain,1,4,"7th arr., Paris",1.5,1,Fabulous ,911,Deluxe Double Room with Spa Bath ,Beds: 1 double or 2 singles,0,8.8,232,False,False
Le Grey Hotel,1,4,"9th arr., Paris",3.3,1,Fabulous ,"1,539",Privilege Double or Twin Room,Beds: 1 double or 2 singles,1,8.7,203,False,False
Hôtel du Square d'Anvers,1,2,"9th arr., Paris",2.9,1,Good ,"1,224",Twin Room,2 single beds,0,7.0,101,False,False
Hotel Le Pera,1,4,"9th arr., Paris",2.4,0,Review score ,281,Standard Double or Twin Room,1 large double bed,0,5.0,205,False,False
Hôtel Le Beaugency,1,3,"7th arr., Paris",3.2,1,Very good ,"1,004",Twin Room,2 single beds,0,8.2,166,False,False
Bonséjour Montmartre,1,No Rating available,"18th arr., Paris",3.5,1,Good ,401,Double Room,1 large double bed,1,7.6,122,False,False
Hotel Observatoire Luxembourg,1,4,"5th arr., Paris",1.7,0,Very good ,635,Twin Classic ,2 single beds,0,8.3,183,False,False
Victoria Palace Hotel,1,4,"6th arr., Paris",2.3,1,Fabulous ,"1,282",Classic Double Room,Beds: 1 double or 2 singles,1,8.9,235,False,False
Hotel France Albion,1,2,"9th arr., Paris",2.5,1,Fabulous ,"1,256",Classic Double Room,1 double bed,0,8.6,130,False,False
Hôtel Le Presbytère,1,3,"4th arr., Paris",250.0,1,Superb ,"1,060",Classic Double Room,1 large double bed,0,9.2,172,False,False
Arian Hôtel,1,2,"13th arr., Paris",3.6,1,Good ,833,Standard Double Room,1 double bed,1,7.6,101,False,False
Hotel Bloum,1,3,"9th arr., Paris",2.4,1,Superb ,252,Classic Room,1 double bed,1,9.0,173,False,False
Hôtel Relais Monceau,1,4,"8th arr., Paris",3.6,1,Good ,615,Superior Twin Room,2 single beds,0,7.7,146,False,False
Little Hôtel,1,2,"10th arr., Paris",1.7,1,Good ,692,Superior Twin Room,2 single beds,0,7.8,112,False,False
New Hôtel Gare Du Nord,1,2,"10th arr., Paris",2.6,1,Good ,983,Double Room,1 double bed,0,7.1,138,False,False
OKKO Hotels Paris Gare de l'Est,1,4,"10th arr., Paris",2.4,1,Very good ,"1,846",Classic Room,1 large double bed,1,8.3,169,False,False
Grand Hôtel de Clermont,1,No Rating available,"18th arr., Paris",3.3,1,Good ,755,Twin Room,2 single beds,0,7.3,92,False,False
Crystal Hotel,1,3,"6th arr., Paris",1.4,1,Good ,684,Standard Twin Room,2 single beds,1,7.9,179,False,False
"Terrass"" Hotel",1,4,"18th arr., Paris",3.6,1,Fabulous ,"1,053",Classic Double Room (Loge Classique),1 large double bed,1,8.8,201,False,False
Studio Beaubourg Marais,0,3,"4th arr., Paris",500.0,1,Very good ,27,Standard Studio,Entire studio • 1 bathroom • 18m²1 double bed,0,8.1,174,False,False
Hotel Saint-Louis en L'Isle,1,3,"4th arr., Paris",0.5,1,Superb ,417,Standard Double Room,1 double bed,0,9.2,186,False,False
Hotel Scarlett,1,3,"20th arr., Paris",2.9,1,Very good ,"1,046",Classic Double Room,1 large double bed,0,8.1,135,False,False
Sure Hotel by Best Western Paris Gare du Nord,0,3,"10th arr., Paris",3.1,1,Good ,546,Classic Double Room,1 double bed,0,7.2,80,True,False
Hotel Royal Mansart,1,2,"9th arr., Paris",3.1,1,Good ,963,Twin Room,2 single beds,0,7.3,103,False,False
Hotel Paix Republique,1,3,"10th arr., Paris",1.5,1,Very good ,"1,353",Comfort Double Room,1 double bed,0,8.1,143,False,False
Hotel Restaurant Au Boeuf Couronné,1,3,"19th arr., Paris",4.5,1,Very good ,"1,228",Double Room,1 large double bed,0,8.5,132,False,False
"Hôtel Horset Opéra, Best Western Premier Collection",1,4,"2nd arr., Paris",1.9,1,Very good ,990,Classic Queen Room,1 large double bed,1,8.5,177,False,False
Hôtel Brésil Opéra,1,3,"9th arr., Paris",1.8,1,Very good ,"1,509",Comfort Double or Twin Room,Beds: 1 double or 2 singles,0,8.3,170,False,False
Hôtel De La Perdrix Rouge,1,2,"19th arr., Paris",3.4,1,Good ,986,Double Room with Shower,1 double bed,0,7.9,119,False,False
Hôtel La Nouvelle République & Hammam,1,3,"11th arr., Paris",2.4,1,Fabulous ,"1,034",Queen Room,1 large double bed,1,8.6,159,False,False
Korner Opera,1,3,"2nd arr., Paris",1.6,1,Very good ,805,Double Room,1 double bed,1,8.2,194,False,False
Midnight Hotel Paris,1,3,"10th arr., Paris",2.3,1,Good ,978,Comfort Double Room,1 double bed,1,7.0,133,False,False
