property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
Novotel Suites Paris Expo Porte de Versailles,0,4,"14th arr., Paris",4.7,0,Fabulous ,"2,227",Superior Queen Suite with Sofa,"Private suite2 beds (1 double, 1 sofa bed)",1,8.6,200,False,False
Hôtel Les Dames du Panthéon,1,4,"5th arr., Paris",1.3,0,Fabulous ,793,Classic Room,Beds: 1 double or 2 singles,1,8.6,318,False,False
Abaca Messidor by Happyculture,1,3,"15th arr., Paris",4.7,1,Very good ,"2,675",Double Room,Beds: 1 double or 2 singles,1,8.0,124,False,False
Nolinski Paris,1,5,"1st arr., Paris",1.6,1,Superb ,525,Standard Double Room,1 large double bed,1,9.1,677,False,False
ibis Styles Paris Maine Montparnasse,0,3,"14th arr., Paris",3.5,1,Good ,488,Standard Double Room,1 double bed,1,7.8,161,True,False
Citadines République Paris,1,3,"11th arr., Paris",1.9,1,Good ,"1,872",Studio (2 Adults),1 double bed,1,7.9,187,False,False
ibis Paris Ornano Montmartre Nord 18ème,0,3,"18th arr., Paris",4.5,1,Good ,771,Standard Double Room,1 double bed,1,7.3,132,False,False
Mama Shelter Paris East,0,2,"20th arr., Paris",3.8,0,Very good ,"1,176",Medium Mama Double Room,1 double bed,0,8.0,171,False,False
Hôtel Joséphine by Happyculture,1,4,"9th arr., Paris",3.2,1,Good ,"1,390",Standard Double or Twin Room,1 large double bed,1,7.8,131,False,False
ibis Paris Ornano Montmartre Nord 18ème,0,3,"18th arr., Paris",4.5,1,Good ,771,Standard Double Room,1 double bed,1,7.3,132,False,False
Hôtel Joséphine by Happyculture,1,4,"9th arr., Paris",3.2,1,Good ,"1,390",Standard Double or Twin Room,1 large double bed,1,7.8,131,False,False
Hôtel des Grands Hommes,1,3,"5th arr., Paris",1.3,1,Fabulous ,500,Classic Room,Beds: 1 double or 2 singles,1,8.8,301,False,False
"Holiday Inn Paris Elysées, an IHG Hotel",1,4,"8th arr., Paris",3.2,1,Very good ,489,Standard  Room,1 double bed,1,8.3,335,False,False
Hôtel Madeleine Haussmann,1,3,"8th arr., Paris",2.7,0,Very good ,813,Classic Double or Twin Room,Beds: 1 double or 2 singles,0,8.2,287,False,False
Sofitel Paris Le Faubourg,1,5,"8th arr., Paris",2.5,1,Very good ,547,Superior Room,1 double bed,0,8.1,628,False,False
Hotel Residence Henri IV,1,4,"5th arr., Paris",1.0,1,Fabulous ,758,Room Elegance Double or Twin,Beds: 1 double or 2 singles,1,8.9,210,False,False
Hôtel Pastel Paris,0,3,"16th arr., Paris",4.7,0,Very good ,395,Standard Double Room,1 double bed,0,8.4,176,False,False
ibis Styles Paris Gare de l'Est TGV,0,3,"10th arr., Paris",2.2,1,Good ,940,Standard Double Room,1 large double bed,1,7.8,161,True,False
Amiral-Fondary,1,3,"15th arr., Paris",4.3,1,Very good ,972,Double Room with Shower,1 large double bed,0,8.1,127,False,False
Hotel Saint Christophe,1,3,"5th arr., Paris",1.4,1,Very good ,"1,002",Twin Room,2 single beds,0,8.5,184,False,False
